"Tabela 9886 - Pessoas de 15 anos ou mais de idade residentes em favelas e comunidades urbanas, por alfabetização, cor ou raça, sexo e grupos de idade, segundo as Favelas e Comunidades Urbanas",,,,,,,,,,,,,,
Variável - Pessoas de 15 anos ou mais de idade residentes em favelas e comunidades urbanas (Pessoas),,,,,,,,,,,,,,
Favela e Comunidade Urbana 2022,Sexo,Grupo de idade,Ano x Alfabetização x Cor ou raça,,,,,,,,,,,
Favela e Comunidade Urbana 2022,Sexo,Grupo de idade,2022,,,,,,,,,,,
Favela e Comunidade Urbana 2022,Sexo,Grupo de idade,Alfabetizadas,,,,,,Não alfabetizadas,,,,,
Favela e Comunidade Urbana 2022,Sexo,Grupo de idade,Branca,Preta,Amarela,Parda,Indígena,Sem declaração,Branca,Preta,Amarela,Parda,Indígena,Sem declaração
Vila Paquetá - Belo Horizonte (MG),Homens,15 a 19 anos,1,6,-,11,-,-,-,-,-,-,-,-
Vila Paquetá - Belo Horizonte (MG),Homens,20 a 24 anos,4,15,-,22,-,-,-,-,-,1,-,-
Vila Paquetá - Belo Horizonte (MG),Homens,25 a 34 anos,6,17,-,27,-,-,-,1,-,-,-,-
Vila Paquetá - Belo Horizonte (MG),Homens,35 a 44 anos,7,12,-,18,-,-,-,-,-,1,-,-
Vila Paquetá - Belo Horizonte (MG),Homens,45 a 54 anos,-,12,-,21,-,-,-,1,-,-,-,-
Vila Paquetá - Belo Horizonte (MG),Homens,55 a 64 anos,2,5,-,7,-,-,-,-,-,-,-,-
Vila Paquetá - Belo Horizonte (MG),Homens,65 anos ou mais,2,2,-,3,-,-,1,-,-,4,-,-
Vila Paquetá - Belo Horizonte (MG),Homens,75 anos ou mais,1,-,-,1,-,-,1,-,-,2,-,-
Vila Paquetá - Belo Horizonte (MG),Homens,80 anos ou mais,1,-,-,-,-,-,-,-,-,1,-,-
Vila Paquetá - Belo Horizonte (MG),Mulheres,15 a 19 anos,3,8,-,16,-,-,-,-,-,-,-,-
Vila Paquetá - Belo Horizonte (MG),Mulheres,20 a 24 anos,7,12,-,13,-,-,-,-,-,-,-,-
Vila Paquetá - Belo Horizonte (MG),Mulheres,25 a 34 anos,6,12,-,19,-,-,-,-,-,-,-,-
Vila Paquetá - Belo Horizonte (MG),Mulheres,35 a 44 anos,6,14,-,22,-,-,-,-,-,1,-,-
Vila Paquetá - Belo Horizonte (MG),Mulheres,45 a 54 anos,8,9,-,22,-,-,-,1,-,1,-,-
Vila Paquetá - Belo Horizonte (MG),Mulheres,55 a 64 anos,1,7,-,10,-,-,2,3,-,1,-,-
Vila Paquetá - Belo Horizonte (MG),Mulheres,65 anos ou mais,5,4,-,4,-,-,-,2,-,1,-,-
Vila Paquetá - Belo Horizonte (MG),Mulheres,75 anos ou mais,-,-,-,1,-,-,-,2,-,-,-,-
Vila Paquetá - Belo Horizonte (MG),Mulheres,80 anos ou mais,-,-,-,1,-,-,-,-,-,-,-,-
Vila Nova dos Milionários - Belo Horizonte (MG),Homens,15 a 19 anos,6,4,-,7,-,-,-,-,-,-,-,-
Vila Nova dos Milionários - Belo Horizonte (MG),Homens,20 a 24 anos,1,5,-,12,-,-,-,-,-,-,-,-
Vila Nova dos Milionários - Belo Horizonte (MG),Homens,25 a 34 anos,8,7,-,15,-,-,-,-,-,-,-,-
Vila Nova dos Milionários - Belo Horizonte (MG),Homens,35 a 44 anos,5,9,-,20,-,-,-,-,-,-,-,-
Vila Nova dos Milionários - Belo Horizonte (MG),Homens,45 a 54 anos,4,8,-,11,-,-,-,-,-,-,-,-
